"";"vuosi";"atyyppi";"atyyppi_tp";"amma3";"N"
"271";1995;"kaupms";"yokaup";"tsto & aspal tt";2869
"272";1995;"kaupms";"yokaup";"pal, myynti & hoito tt";4328
"273";1995;"kaupms";"yokaup";"maanvil & metsä tt";246
"274";1995;"kaupms";"yokaup";"rakennus tt";1080
"275";1995;"kaupms";"yokaup";"korj & valm tt";3543
"276";1995;"kaupms";"yokaup";"pros tt";1407
"277";1995;"kaupms";"yokaup";"kulj tt";1407
"278";1995;"kaupms";"yokaup";"siivoojat & kettiö tt";1063
"279";1995;"kaupms";"yokaup";"muut tt";552
"280";1995;"kaupms";"yokaup";NA;147
"281";1995;"kaupms";"pk";"sotilaat";47
"282";1995;"kaupms";"pk";"johtajat";1264
"283";1995;"kaupms";"pk";"erityisasiantuntijat";2972
"284";1995;"kaupms";"pk";"asiantuntijat";4128
"285";1995;"kaupms";"pk";"tsto & aspal tt";2621
"286";1995;"kaupms";"pk";"pal, myynti & hoito tt";2481
"287";1995;"kaupms";"pk";"maanvil & metsä tt";138
"288";1995;"kaupms";"pk";"rakennus tt";690
"289";1995;"kaupms";"pk";"korj & valm tt";1763
"290";1995;"kaupms";"pk";"pros tt";507
"291";1995;"kaupms";"pk";"kulj tt";804
"292";1995;"kaupms";"pk";"siivoojat & kettiö tt";532
"293";1995;"kaupms";"pk";"muut tt";493
"294";1995;"kaupms";"pk";NA;131
"295";1995;"kaup";"ms";"sotilaat";7
"296";1995;"kaup";"ms";"johtajat";19
"297";1995;"kaup";"ms";"erityisasiantuntijat";62
"298";1995;"kaup";"ms";"asiantuntijat";65
"299";1995;"kaup";"ms";"tsto & aspal tt";24
"300";1995;"kaup";"ms";"pal, myynti & hoito tt";66
"301";1995;"kaup";"ms";"maanvil & metsä tt";11
"302";1995;"kaup";"ms";"rakennus tt";19
"303";1995;"kaup";"ms";"korj & valm tt";33
"304";1995;"kaup";"ms";"pros tt";18
"305";1995;"kaup";"ms";"kulj tt";43
"306";1995;"kaup";"ms";"siivoojat & kettiö tt";NA
"307";1995;"kaup";"ms";"muut tt";NA
"308";1995;"kaup";"ms";NA;NA
"309";1995;"kaup";"ydinms";"sotilaat";9
"310";1995;"kaup";"ydinms";"johtajat";138
"311";1995;"kaup";"ydinms";"erityisasiantuntijat";471
"312";1995;"kaup";"ydinms";"asiantuntijat";435
"313";1995;"kaup";"ydinms";"tsto & aspal tt";156
"314";1995;"kaup";"ydinms";"pal, myynti & hoito tt";542
"315";1995;"kaup";"ydinms";"maanvil & metsä tt";61
"316";1995;"kaup";"ydinms";"rakennus tt";94
"317";1995;"kaup";"ydinms";"korj & valm tt";276
"318";1995;"kaup";"ydinms";"pros tt";124
"319";1995;"kaup";"ydinms";"kulj tt";268
"320";1995;"kaup";"ydinms";"siivoojat & kettiö tt";138
"321";1995;"kaup";"ydinms";"muut tt";27
"322";1995;"kaup";"ydinms";NA;21
"323";1995;"kaup";"kaupms";"sotilaat";252
"324";1995;"kaup";"kaupms";"johtajat";326
"325";1995;"kaup";"kaupms";"erityisasiantuntijat";1341
"326";1995;"kaup";"kaupms";"asiantuntijat";1362
"327";1995;"kaup";"kaupms";"tsto & aspal tt";639
"328";1995;"kaup";"kaupms";"pal, myynti & hoito tt";1205
"329";1995;"kaup";"kaupms";"maanvil & metsä tt";164
"330";1995;"kaup";"kaupms";"rakennus tt";469
"331";1995;"kaup";"kaupms";"korj & valm tt";1372
"332";1995;"kaup";"kaupms";"pros tt";890
"333";1995;"kaup";"kaupms";"kulj tt";594
"334";1995;"kaup";"kaupms";"siivoojat & kettiö tt";219
"335";1995;"kaup";"kaupms";"muut tt";151
"336";1995;"kaup";"kaupms";NA;62
"337";1995;"kaup";"kaup";"sotilaat";882
"338";1995;"kaup";"kaup";"johtajat";4860
"339";1995;"kaup";"kaup";"erityisasiantuntijat";20297
"340";1995;"kaup";"kaup";"asiantuntijat";26600
"341";1995;"kaup";"kaup";"tsto & aspal tt";15815
"342";1995;"kaup";"kaup";"pal, myynti & hoito tt";37487
"343";1995;"kaup";"kaup";"maanvil & metsä tt";8550
"344";1995;"kaup";"kaup";"rakennus tt";5850
"345";1995;"kaup";"kaup";"korj & valm tt";20975
"346";1995;"kaup";"kaup";"pros tt";15049
"347";1995;"kaup";"kaup";"kulj tt";8662
"348";1995;"kaup";"kaup";"siivoojat & kettiö tt";9548
"349";1995;"kaup";"kaup";"muut tt";3848
"350";1995;"kaup";"kaup";NA;2944
"351";1995;"kaup";"tkakeskus";"sotilaat";51
"352";1995;"kaup";"tkakeskus";"johtajat";509
"353";1995;"kaup";"tkakeskus";"erityisasiantuntijat";1646
"354";1995;"kaup";"tkakeskus";"asiantuntijat";2085
"355";1995;"kaup";"tkakeskus";"tsto & aspal tt";935
"356";1995;"kaup";"tkakeskus";"pal, myynti & hoito tt";1550
"357";1995;"kaup";"tkakeskus";"maanvil & metsä tt";87
"358";1995;"kaup";"tkakeskus";"rakennus tt";424
"359";1995;"kaup";"tkakeskus";"korj & valm tt";1508
"360";1995;"kaup";"tkakeskus";"pros tt";843
"361";1995;"kaup";"tkakeskus";"kulj tt";545
"362";1995;"kaup";"tkakeskus";"siivoojat & kettiö tt";335
"363";1995;"kaup";"tkakeskus";"muut tt";233
"364";1995;"kaup";"tkakeskus";NA;53
"365";1995;"kaup";"yokaup";"sotilaat";391
"366";1995;"kaup";"yokaup";"johtajat";1349
"367";1995;"kaup";"yokaup";"erityisasiantuntijat";5066
"368";1995;"kaup";"yokaup";"asiantuntijat";6154
"369";1995;"kaup";"yokaup";"tsto & aspal tt";3780
"370";1995;"kaup";"yokaup";"pal, myynti & hoito tt";4912
"371";1995;"kaup";"yokaup";"maanvil & metsä tt";160
"372";1995;"kaup";"yokaup";"rakennus tt";1153
"373";1995;"kaup";"yokaup";"korj & valm tt";4655
"374";1995;"kaup";"yokaup";"pros tt";1612
"375";1995;"kaup";"yokaup";"kulj tt";1417
"376";1995;"kaup";"yokaup";"siivoojat & kettiö tt";1254
"377";1995;"kaup";"yokaup";"muut tt";649
"378";1995;"kaup";"yokaup";NA;131
"379";1995;"kaup";"pk";"sotilaat";237
"380";1995;"kaup";"pk";"johtajat";3335
"381";1995;"kaup";"pk";"erityisasiantuntijat";7642
"382";1995;"kaup";"pk";"asiantuntijat";9059
"383";1995;"kaup";"pk";"tsto & aspal tt";6502
"384";1995;"kaup";"pk";"pal, myynti & hoito tt";4890
"385";1995;"kaup";"pk";"maanvil & metsä tt";125
